anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 243      errA=1.997216859900941e-9      err2_a=6.288649732937026e-18      err2_b=9.819206213442856e-9
iter = 244      errA=1.9972168599179506e-9      err2_a=6.288776725719334e-18      err2_b=9.819206213579366e-9
iter = 245      errA=1.9972168599511946e-9      err2_a=6.288778744428227e-18      err2_b=9.819206213815105e-9
iter = 246      errA=1.997216859968103e-9      err2_a=6.288584071277892e-18      err2_b=9.819206213923137e-9
iter = 247      errA=1.9972168600882597e-9      err2_a=6.28777647632877e-18      err2_b=9.819206214764482e-9
iter = 248      errA=1.9972168601263286e-9      err2_a=6.297614315857802e-18      err2_b=9.819206215039659e-9
iter = 249      errA=1.9972168601281182e-9      err2_a=6.297676883266259e-18      err2_b=9.819206215053774e-9
iter = 250      errA=1.9972168601440356e-9      err2_a=6.29767889120505e-18      err2_b=9.819206215158531e-9
iter = 251      errA=1.9972168601492167e-9      err2_a=6.288584436699622e-18      err2_b=9.819206215244531e-9
iter = 252      errA=1.9972168602185654e-9      err2_a=6.286475172313122e-18      err2_b=9.819206215826676e-9
iter = 253      errA=1.99721686023423e-9      err2_a=6.286666139500502e-18      err2_b=9.819206215947094e-9
iter = 254      errA=1.997216860248478e-9      err2_a=6.2864746430067215e-18      err2_b=9.819206216057403e-9
iter = 255      errA=1.9972168602492294e-9      err2_a=6.288584738742426e-18      err2_b=9.819206216074013e-9
iter = 256      errA=1.9972168603011656e-9      err2_a=6.297550489044867e-18      err2_b=9.819206216469364e-9
iter = 257      errA=1.997216860337739e-9      err2_a=6.2976169555952674e-18      err2_b=9.819206216807717e-9
iter = 258      errA=1.9972168606618275e-9      err2_a=6.288843757664989e-18      err2_b=9.819206219660114e-9
iter = 259      errA=1.9972168607338717e-9      err2_a=6.288840828198305e-18      err2_b=9.819206220314515e-9
iter = 260      errA=1.997216860852633e-9      err2_a=6.2945936163501315e-18      err2_b=9.819206221312131e-9
iter = 261      errA=1.997216860882875e-9      err2_a=6.286795355574377e-18      err2_b=9.819206221544562e-9
