=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_1000_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 647190228.579261
||xbar||_A = 31928.356634
i=397, err2=5.79246e-05, errA = 0.00153945
i=398, err2=6.94373e-05, errA = 0.00153157
i=399, err2=6.3828e-05, errA = 0.00152941
i=400, err2=2.92405e-05, errA = 0.00152677
i=401, err2=2.83807e-05, errA = 0.00152535
i=402, err2=2.95893e-05, errA = 0.00152479
i=403, err2=2.11938e-05, errA = 0.00152431
i=404, err2=1.73836e-05, errA = 0.00152402
i=405, err2=7.64461e-05, errA = 0.00152067
i=406, err2=3.46502e-05, errA = 0.00151817
i=407, err2=2.60104e-05, errA = 0.00151734
i=408, err2=3.48306e-05, errA = 0.00151544
i=409, err2=5.79082e-05, errA = 0.0015132
i=410, err2=3.80135e-05, errA = 0.00151159
i=411, err2=7.87292e-05, errA = 0.00150964
i=412, err2=8.47868e-05, errA = 0.00150426
i=413, err2=8.12715e-05, errA = 0.00149817
i=414, err2=4.14183e-05, errA = 0.00149412
i=415, err2=1.46269e-05, errA = 0.00149259
i=416, err2=4.07896e-05, errA = 0.00149171
i=417, err2=2.14592e-05, errA = 0.00149116
i=418, err2=2.86833e-05, errA = 0.00149028
i=419, err2=3.9643e-05, errA = 0.00148962
i=420, err2=3.58194e-05, errA = 0.00148246
i=421, err2=5.16495e-05, errA = 0.00148159
i=422, err2=2.38898e-05, errA = 0.00147926
i=423, err2=1.93545e-05, errA = 0.0014778
i=424, err2=7.29196e-05, errA = 0.00147559
i=425, err2=3.72932e-05, errA = 0.00147327
i=426, err2=6.17724e-05, errA = 0.00146984
i=427, err2=4.15167e-05, errA = 0.00146751
i=428, err2=4.89107e-05, errA = 0.00146241
i=429, err2=4.52504e-05, errA = 0.00146108
i=430, err2=7.70941e-05, errA = 0.00145688
i=431, err2=7.90537e-05, errA = 0.00145295
i=432, err2=4.58571e-05, errA = 0.00144801
i=433, err2=0.000101066, errA = 0.00144239
i=434, err2=4.40124e-05, errA = 0.00143709
i=435, err2=3.4378e-05, errA = 0.00143606
i=436, err2=5.21861e-05, errA = 0.00143324
i=437, err2=3.5739e-05, errA = 0.00143107
i=438, err2=3.96198e-05, errA = 0.00143041
i=439, err2=5.05787e-05, errA = 0.00142852
i=440, err2=2.83936e-05, errA = 0.00142585
i=441, err2=3.1577e-05, errA = 0.00142532
i=442, err2=4.5672e-05, errA = 0.00142404
i=443, err2=9.53366e-05, errA = 0.00140963
i=444, err2=4.60706e-05, errA = 0.00140612
i=445, err2=1.37058e-05, errA = 0.00140555
i=446, err2=2.6897e-05, errA = 0.00140505
i=447, err2=6.16932e-05, errA = 0.00140282
i=448, err2=4.82442e-05, errA = 0.00140034
i=449, err2=0.000101885, errA = 0.00139381
i=450, err2=7.39661e-05, errA = 0.00138892
i=451, err2=4.71644e-05, errA = 0.0013858
i=452, err2=7.57799e-05, errA = 0.0013794
i=453, err2=5.37341e-05, errA = 0.00137512
i=454, err2=7.88856e-05, errA = 0.00137059
i=455, err2=4.86455e-05, errA = 0.00136554
i=456, err2=2.87943e-05, errA = 0.00136474
i=457, err2=2.25104e-05, errA = 0.00136338
i=458, err2=2.03783e-05, errA = 0.00136296
i=459, err2=4.08945e-05, errA = 0.0013623
i=460, err2=2.85624e-05, errA = 0.00135716
i=461, err2=2.23933e-05, errA = 0.00135596
i=462, err2=3.13257e-05, errA = 0.0013543
i=463, err2=4.0278e-05, errA = 0.00135362
i=464, err2=6.34669e-05, errA = 0.00134994
i=465, err2=7.07234e-05, errA = 0.00134515
i=466, err2=5.16766e-05, errA = 0.00134309
i=467, err2=1.22247e-05, errA = 0.00134094
i=468, err2=1.81482e-05, errA = 0.00134049
i=469, err2=3.70555e-05, errA = 0.0013397
