=========CG using MATLAB default precision=====
====DATA = ../graphs/se_2/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=  1, err2=2.65521e+12, errA = 626992
i=453, err2=3.80787e-16, errA = 4.28493e-15
i=454, err2=3.6042e-16, errA = 4.28482e-15
i=455, err2=2.78475e-16, errA = 4.28476e-15
i=456, err2=2.13751e-16, errA = 4.28477e-15
i=457, err2=2.04785e-16, errA = 4.2848e-15
i=458, err2=2.8351e-16, errA = 4.28486e-15
i=459, err2=5.9609e-16, errA = 4.28497e-15
i=460, err2=1.58529e-15, errA = 4.28515e-15
i=461, err2=2.83032e-15, errA = 4.28529e-15
i=462, err2=1.86964e-15, errA = 4.28514e-15
i=463, err2=6.9552e-16, errA = 4.28491e-15
i=464, err2=2.91751e-16, errA = 4.28479e-15
i=465, err2=1.79213e-16, errA = 4.28472e-15
i=466, err2=1.55707e-16, errA = 4.28469e-15
i=467, err2=1.74561e-16, errA = 4.28467e-15
i=468, err2=2.21337e-16, errA = 4.28467e-15
i=469, err2=2.6936e-16, errA = 4.28471e-15
i=470, err2=2.77364e-16, errA = 4.28479e-15
i=471, err2=2.3173e-16, errA = 4.28491e-15
i=472, err2=1.64886e-16, errA = 4.28503e-15
i=473, err2=1.12646e-16, errA = 4.28513e-15
i=474, err2=8.63099e-17, errA = 4.28521e-15
i=475, err2=8.39576e-17, errA = 4.28526e-15
i=476, err2=1.13606e-16, errA = 4.28535e-15
i=477, err2=2.60523e-16, errA = 4.28548e-15
i=478, err2=7.51481e-16, errA = 4.2858e-15
i=479, err2=6.13004e-16, errA = 4.28596e-15
i=480, err2=2.93049e-16, errA = 4.28584e-15
i=481, err2=2.65733e-16, errA = 4.28567e-15
i=482, err2=4.29908e-16, errA = 4.28547e-15
i=483, err2=6.27232e-16, errA = 4.28522e-15
i=484, err2=4.60864e-16, errA = 4.28507e-15
i=485, err2=1.92251e-16, errA = 4.28507e-15
i=486, err2=9.2413e-17, errA = 4.28513e-15
i=487, err2=8.72314e-17, errA = 4.28518e-15
i=488, err2=1.08966e-16, errA = 4.28544e-15
i=489, err2=8.8723e-17, errA = 4.28537e-15
i=490, err2=1.60755e-16, errA = 4.28524e-15
i=491, err2=4.38646e-16, errA = 4.28501e-15
i=492, err2=8.06872e-16, errA = 4.28469e-15
i=493, err2=6.34359e-16, errA = 4.28451e-15
i=494, err2=2.82293e-16, errA = 4.28452e-15
i=495, err2=1.59427e-16, errA = 4.28461e-15
i=496, err2=1.92872e-16, errA = 4.28473e-15
i=497, err2=2.75656e-16, errA = 4.28495e-15
i=498, err2=1.14402e-16, errA = 4.28498e-15
i=499, err2=7.14205e-17, errA = 4.28496e-15
i=500, err2=6.26927e-17, errA = 4.28493e-15
i=501, err2=6.52273e-17, errA = 4.28491e-15
i=502, err2=7.80334e-17, errA = 4.2849e-15
i=503, err2=1.04306e-16, errA = 4.28488e-15
i=504, err2=1.48018e-16, errA = 4.28487e-15
i=505, err2=2.10815e-16, errA = 4.28488e-15
i=506, err2=2.87699e-16, errA = 4.28491e-15
i=507, err2=3.63924e-16, errA = 4.28494e-15
