=========CG using MATLAB variable precision=====
====NUMBER OF DIGITS = 1024
====DATA = ../graphs/pathDisjoint_30_exp20/
====error given as ||Ax - b||_2 / ||b||_2 and ||x - xbar||_A / ||xbar||_A
||b||_2 = 10038889.327132
||xbar||_A = 1870.562683
i=  1, err2=0.162317, errA = 0.42331
i=215, err2=1.94621e-14, errA = 3.49815e-11
i=216, err2=5.45893e-14, errA = 3.49585e-11
i=217, err2=1.6853e-14, errA = 3.49806e-11
i=218, err2=9.71492e-15, errA = 3.49904e-11
i=219, err2=2.92005e-14, errA = 3.50126e-11
i=220, err2=2.46064e-14, errA = 3.50318e-11
i=221, err2=3.28857e-14, errA = 3.50164e-11
i=222, err2=6.26845e-14, errA = 3.49768e-11
i=223, err2=1.42298e-14, errA = 3.49938e-11
i=224, err2=1.19106e-14, errA = 3.50012e-11
i=225, err2=4.24249e-14, errA = 3.50043e-11
i=226, err2=2.57275e-14, errA = 3.49663e-11
i=227, err2=4.61061e-14, errA = 3.495e-11
i=228, err2=2.82745e-14, errA = 3.50009e-11
i=229, err2=1.0521e-14, errA = 3.50192e-11
i=230, err2=3.31743e-14, errA = 3.5039e-11
i=231, err2=6.65849e-14, errA = 3.51031e-11
i=232, err2=3.91852e-14, errA = 3.50735e-11
i=233, err2=6.52687e-14, errA = 3.5003e-11
i=234, err2=1.97432e-14, errA = 3.50084e-11
i=235, err2=3.89777e-14, errA = 3.50268e-11
i=236, err2=1.11991e-13, errA = 3.5038e-11
i=237, err2=2.20729e-14, errA = 3.49783e-11
i=238, err2=2.63505e-14, errA = 3.49706e-11
i=239, err2=1.57817e-14, errA = 3.50036e-11
i=240, err2=1.4139e-14, errA = 3.50165e-11
i=241, err2=4.26964e-14, errA = 3.50294e-11
i=242, err2=6.18946e-15, errA = 3.50055e-11
i=243, err2=4.48128e-15, errA = 3.50011e-11
i=244, err2=9.37721e-15, errA = 3.49911e-11
i=245, err2=5.47539e-15, errA = 3.49903e-11
i=246, err2=1.23273e-14, errA = 3.49962e-11
i=247, err2=9.72175e-15, errA = 3.49996e-11
i=248, err2=3.25386e-15, errA = 3.49955e-11
i=249, err2=6.16655e-15, errA = 3.49929e-11
i=250, err2=2.00077e-14, errA = 3.49906e-11
i=251, err2=1.24341e-14, errA = 3.50039e-11
i=252, err2=1.25172e-14, errA = 3.50104e-11
i=253, err2=1.78159e-14, errA = 3.50023e-11
i=254, err2=5.22761e-15, errA = 3.49886e-11
i=255, err2=3.91898e-15, errA = 3.49854e-11
i=256, err2=1.04001e-14, errA = 3.498e-11
i=257, err2=2.47008e-14, errA = 3.4965e-11
i=258, err2=1.57461e-14, errA = 3.49653e-11
i=259, err2=1.43565e-14, errA = 3.49742e-11
i=260, err2=2.37568e-14, errA = 3.49935e-11
i=261, err2=1.09729e-14, errA = 3.50001e-11
i=262, err2=4.55406e-15, errA = 3.49973e-11
i=263, err2=6.03674e-15, errA = 3.49951e-11
i=264, err2=1.64856e-14, errA = 3.4993e-11
i=265, err2=2.38122e-14, errA = 3.50058e-11
i=266, err2=1.50052e-14, errA = 3.50235e-11
i=267, err2=1.66811e-14, errA = 3.50329e-11
i=268, err2=2.69459e-14, errA = 3.50368e-11
i=269, err2=1.45377e-14, errA = 3.50237e-11
i=270, err2=5.46736e-15, errA = 3.50167e-11
i=271, err2=4.34789e-15, errA = 3.50137e-11
i=272, err2=8.02743e-15, errA = 3.50091e-11
i=273, err2=1.53653e-14, errA = 3.4998e-11
i=274, err2=1.38574e-14, errA = 3.49899e-11
i=275, err2=1.17942e-14, errA = 3.4991e-11
i=276, err2=1.97212e-14, errA = 3.4996e-11
i=277, err2=3.93178e-14, errA = 3.5003e-11
i=278, err2=2.94545e-14, errA = 3.49928e-11
i=279, err2=1.16147e-14, errA = 3.49821e-11
i=280, err2=6.52381e-15, errA = 3.49783e-11
i=281, err2=7.70431e-15, errA = 3.49766e-11
i=282, err2=1.16131e-14, errA = 3.49784e-11
i=283, err2=9.66396e-15, errA = 3.49864e-11
i=284, err2=6.98276e-15, errA = 3.49926e-11
i=285, err2=9.61167e-15, errA = 3.49978e-11
i=286, err2=2.1772e-14, errA = 3.50075e-11
i=287, err2=3.09666e-14, errA = 3.50179e-11
i=288, err2=1.58932e-14, errA = 3.5012e-11
i=289, err2=7.65203e-15, errA = 3.50058e-11
i=290, err2=6.8501e-15, errA = 3.50012e-11
i=291, err2=8.63919e-15, errA = 3.49952e-11
i=292, err2=6.09796e-15, errA = 3.49918e-11
i=293, err2=2.58823e-15, errA = 3.49923e-11
i=294, err2=1.5748e-15, errA = 3.4993e-11
i=295, err2=2.54902e-15, errA = 3.4994e-11
i=296, err2=9.06754e-15, errA = 3.49967e-11
i=297, err2=4.4797e-15, errA = 3.49927e-11
i=298, err2=3.52805e-15, errA = 3.49911e-11
i=299, err2=4.81985e-15, errA = 3.49929e-11
i=300, err2=1.97617e-15, errA = 3.49971e-11
i=301, err2=1.26777e-15, errA = 3.49983e-11
i=302, err2=5.00477e-15, errA = 3.49995e-11
i=303, err2=1.4114e-15, errA = 3.49951e-11
i=304, err2=2.11532e-15, errA = 3.4995e-11
i=305, err2=1.42414e-15, errA = 3.49973e-11
i=306, err2=2.34704e-15, errA = 3.49988e-11
i=307, err2=2.84689e-15, errA = 3.49966e-11
i=308, err2=2.27565e-15, errA = 3.49979e-11
i=309, err2=1.77391e-15, errA = 3.49952e-11
i=310, err2=1.67823e-15, errA = 3.4995e-11
i=311, err2=1.53089e-15, errA = 3.49937e-11
i=312, err2=5.30057e-15, errA = 3.49923e-11
i=313, err2=1.36272e-15, errA = 3.49957e-11
i=314, err2=1.16415e-15, errA = 3.49966e-11
