,,,,||xbar||_A,1870.562683,,,,,,,,,,
Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024,,Matlab_default_absolute^2,Matlab_1024_absolute^2,,Julia_default,Julia_64,Julia_128,Julia_1024,Matlab_default,Matlab_1024
6.92E-12,1.07E-12,1.07E-12,4.97E+137,3.4978E-11,3.49311E-11,,4.28E-15,4.27E-15,,,,,,,
6.94E-12,1.07E-12,1.07E-12,6.64E+137,3.50964E-11,3.49359E-11,,4.31E-15,4.27E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,1.17E+138,3.5168E-11,3.49535E-11,,4.33E-15,4.27E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,7.62E+137,3.51421E-11,3.49587E-11,,4.32E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,1.10E+138,3.50197E-11,3.49817E-11,,4.29E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,2.01E+137,3.50352E-11,3.49765E-11,,4.29E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,1.08E+137,3.50043E-11,3.49619E-11,,4.29E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,5.36E+137,3.49831E-11,3.49677E-11,,4.28E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,1.38E+138,3.49914E-11,3.49744E-11,,4.28E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,1.34E+138,3.49984E-11,3.49614E-11,,4.29E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,3.12E+137,3.50085E-11,3.49553E-11,,4.29E-15,4.28E-15,,,,,,,
6.97E-12,1.07E-12,1.07E-12,8.08E+137,3.50214E-11,3.49429E-11,,4.29E-15,4.27E-15,,,,,,,
6.98E-12,1.07E-12,1.07E-12,3.14E+137,3.49807E-11,3.49763E-11,,4.28E-15,4.28E-15,,,,,,,
6.98E-12,1.07E-12,1.07E-12,1.07E+138,3.49871E-11,3.49808E-11,,4.28E-15,4.28E-15,,,,,,,
