=========CG using MATLAB default precision=====
====DATA = ../graphs/se_1/
====error given as ||Ax - b||_2^2 and ||x - xbar||_A^2
i=269, err2=1.61704e+09, errA = 4869.14
i=270, err2=6.45448e+09, errA = 4841
i=271, err2=2.40167e+09, errA = 4823.73
i=272, err2=1.54468e+09, errA = 4810.91
i=273, err2=1.7119e+09, errA = 4759.56
i=274, err2=1.04572e+09, errA = 4755.27
i=275, err2=1.92584e+09, errA = 4729.23
i=276, err2=1.06008e+09, errA = 4724.96
i=277, err2=1.05579e+10, errA = 4683.14
i=278, err2=3.01095e+09, errA = 4524.64
i=279, err2=1.24864e+09, errA = 4514.39
i=280, err2=3.86006e+09, errA = 4496.33
i=281, err2=2.95686e+09, errA = 4474.21
i=282, err2=2.97667e+09, errA = 4459.97
i=283, err2=2.10085e+09, errA = 4438.83
i=284, err2=1.60436e+09, errA = 4427.65
i=285, err2=8.23602e+08, errA = 4423.68
i=286, err2=4.89561e+09, errA = 4393
i=287, err2=1.84245e+09, errA = 4380.66
i=288, err2=3.77676e+09, errA = 4366.55
i=289, err2=6.56627e+09, errA = 4240.9
i=290, err2=4.76103e+09, errA = 4178.7
i=291, err2=1.18569e+09, errA = 4165.82
i=292, err2=2.29089e+09, errA = 4156.03
i=293, err2=1.00495e+09, errA = 4131.9
i=294, err2=1.4815e+09, errA = 4127.37
i=295, err2=4.44616e+09, errA = 4092.3
i=296, err2=1.38542e+09, errA = 4076.83
i=297, err2=1.54649e+09, errA = 4043.91
i=298, err2=6.01139e+08, errA = 4025.97
i=299, err2=8.0539e+08, errA = 4023.55
i=300, err2=3.01721e+09, errA = 4014.01
i=301, err2=3.22091e+09, errA = 3998.93
i=302, err2=2.92221e+09, errA = 3973.47
i=303, err2=4.50071e+09, errA = 3954.43
i=304, err2=8.77878e+09, errA = 3906.05
i=305, err2=1.11181e+09, errA = 3887.86
i=306, err2=6.00475e+09, errA = 3851.17
i=307, err2=3.67858e+09, errA = 3826.51
i=308, err2=3.94057e+09, errA = 3790.22
i=309, err2=2.45628e+09, errA = 3778.15
i=310, err2=1.67026e+09, errA = 3756.85
i=311, err2=8.69716e+08, errA = 3736.8
i=312, err2=2.15484e+09, errA = 3732.78
i=313, err2=6.02166e+09, errA = 3603.08
i=314, err2=4.10946e+09, errA = 3555.92
i=315, err2=2.50249e+09, errA = 3544.93
i=316, err2=1.60801e+09, errA = 3521.94
i=317, err2=7.35127e+08, errA = 3509.37
i=318, err2=3.28532e+08, errA = 3503.54
i=319, err2=4.82891e+08, errA = 3502.14
i=320, err2=1.59812e+09, errA = 3484.33
i=321, err2=1.96261e+09, errA = 3464.35
i=322, err2=1.09275e+09, errA = 3455.2
i=323, err2=1.37787e+09, errA = 3446.29
i=324, err2=1.17985e+09, errA = 3428.99
i=325, err2=2.97686e+09, errA = 3414.62
i=326, err2=6.05908e+09, errA = 3396.61
i=327, err2=1.51737e+09, errA = 3370.04
i=328, err2=8.79067e+08, errA = 3365.44
i=329, err2=4.44761e+08, errA = 3360.01
i=330, err2=1.23804e+09, errA = 3354.7
i=331, err2=2.06283e+09, errA = 3346.43
i=332, err2=3.53887e+09, errA = 3324.18
i=333, err2=6.22461e+09, errA = 3287.42
i=334, err2=6.8446e+09, errA = 3264.49
i=335, err2=4.59305e+09, errA = 3214.3
i=336, err2=1.52762e+08, errA = 3196.56
i=337, err2=5.56159e+08, errA = 3194.93
i=338, err2=4.13545e+08, errA = 3192.55
i=339, err2=1.46806e+09, errA = 3189.16
i=340, err2=5.55151e+09, errA = 3163.38
i=341, err2=1.41554e+09, errA = 3142
i=342, err2=7.23453e+08, errA = 3137.94
i=343, err2=6.0716e+09, errA = 3112.74
i=344, err2=1.25444e+09, errA = 3081.4
i=345, err2=9.16733e+08, errA = 3074.6
i=346, err2=3.85241e+08, errA = 3072.17
i=347, err2=7.17173e+08, errA = 3068.58
i=348, err2=5.08118e+08, errA = 3058.85
i=349, err2=2.37981e+08, errA = 3056.99
i=350, err2=1.13008e+09, errA = 3053.26
i=351, err2=1.66384e+09, errA = 3036.54
i=352, err2=4.05684e+09, errA = 3018.96
i=353, err2=2.24507e+09, errA = 2980.95
i=354, err2=1.31281e+08, errA = 2970.24
i=355, err2=1.46935e+09, errA = 2967.4
i=356, err2=8.1102e+08, errA = 2959.71
i=357, err2=6.81122e+09, errA = 2904.12
i=358, err2=1.75042e+09, errA = 2887.66
i=359, err2=9.70251e+08, errA = 2843.55
i=360, err2=6.76204e+09, errA = 2808.69
i=361, err2=4.3857e+08, errA = 2796.04
i=362, err2=2.40659e+09, errA = 2783.55
i=363, err2=1.49449e+09, errA = 2776.5
i=364, err2=3.18319e+09, errA = 2764.2
i=365, err2=9.14353e+08, errA = 2749.36
i=366, err2=4.55139e+08, errA = 2746.02
i=367, err2=2.49545e+08, errA = 2744.16
i=368, err2=6.8226e+09, errA = 2712.8
i=369, err2=9.59397e+08, errA = 2694.4
i=370, err2=1.42068e+09, errA = 2687.98
i=371, err2=1.26675e+08, errA = 2683.91
i=372, err2=1.83144e+08, errA = 2683.09
i=373, err2=2.29426e+08, errA = 2682.28
i=374, err2=8.4653e+08, errA = 2668.87
