anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 219      errA=4.386345090031442e-5      err2_a=3.856727385757048e-7      err2_b=6.264829545350174e-5
iter = 220      errA=4.3682890488587334e-5      err2_a=3.856442871080971e-7      err2_b=6.224800953258938e-5
iter = 221      errA=4.171957238056408e-5      err2_a=3.7558252270930917e-7      err2_b=5.858657832595663e-5
iter = 222      errA=3.9150982842489065e-5      err2_a=3.478956330181137e-7      err2_b=5.612256931608114e-5
iter = 223      errA=3.3587224429027997e-5      err2_a=2.9899976673266033e-7      err2_b=4.9238518018946896e-5
iter = 224      errA=3.29332531690868e-5      err2_a=2.9228561514131215e-7      err2_b=4.847925547898621e-5
iter = 225      errA=3.065257427231279e-5      err2_a=2.725313397628292e-7      err2_b=4.484674211614174e-5
iter = 226      errA=2.6192420922490117e-5      err2_a=2.3440083608210817e-7      err2_b=3.779493686004911e-5
iter = 227      errA=2.603982612363399e-5      err2_a=2.3352981091447114e-7      err2_b=3.7733419839424266e-5
iter = 228      errA=2.020343622922474e-5      err2_a=1.7823691110896261e-7      err2_b=2.980807747773039e-5
iter = 229      errA=1.6748823592317117e-5      err2_a=1.4797225695835272e-7      err2_b=2.4376228480096278e-5
iter = 230      errA=1.5166428147607747e-5      err2_a=1.3627598874535615e-7      err2_b=2.150754354885419e-5
iter = 231      errA=1.4297678871405213e-5      err2_a=1.2787957244444013e-7      err2_b=2.0488796236591967e-5
iter = 232      errA=1.354846430711276e-5      err2_a=1.2145236719014995e-7      err2_b=1.9589246021508895e-5
iter = 233      errA=1.256334618396652e-5      err2_a=1.119180041768112e-7      err2_b=1.8109626194350908e-5
iter = 234      errA=1.1657003360525293e-5      err2_a=1.0453435190821692e-7      err2_b=1.6717179200130164e-5
iter = 235      errA=1.0917140484509407e-5      err2_a=9.712507148880784e-8      err2_b=1.5579380564168613e-5
