anorm = sqrt((x-truex)' * la * (x-truex)), err2_a = norm(la*x-b) / norm(b), err2_b = norm(x-truex)
1000 iterations
iter = 258      errA=0.06519383375380597      err2_a=5.711615514488991e-5      err2_b=0.09824296945285695
iter = 259      errA=0.06489575295803177      err2_a=5.684402230240363e-5      err2_b=0.09782953697481865
iter = 260      errA=0.061633110714802444      err2_a=5.392448647293273e-5      err2_b=0.09305468507849073
iter = 261      errA=0.058104478414615586      err2_a=5.0955803261922624e-5      err2_b=0.08751290459929316
iter = 262      errA=0.05483849819173649      err2_a=4.807663956875239e-5      err2_b=0.08259670991149695
iter = 263      errA=0.05144418109338043      err2_a=4.5045154611435925e-5      err2_b=0.07765935731219276
iter = 264      errA=0.0483316252068764      err2_a=4.23270168585054e-5      err2_b=0.07300923343052886
iter = 265      errA=0.04561935084113371      err2_a=3.996799369261298e-5      err2_b=0.06880300206992455
iter = 266      errA=0.04266090837572406      err2_a=3.733620343943441e-5      err2_b=0.06438898922603906
iter = 267      errA=0.04015578607980256      err2_a=3.512373004674973e-5      err2_b=0.060606111382911144
iter = 268      errA=0.03797817874479983      err2_a=3.318623074183293e-5      err2_b=0.05745167946198365
iter = 269      errA=0.03697003314340872      err2_a=3.227887495795629e-5      err2_b=0.05610604239492651
iter = 270      errA=0.03553065712438586      err2_a=3.105988692739047e-5      err2_b=0.05374782333192223
iter = 271      errA=0.03334970005253223      err2_a=2.91260921396586e-5      err2_b=0.05051199514632304
iter = 272      errA=0.03145198834613613      err2_a=2.7472570088706948e-5      err2_b=0.04768900858060577
iter = 273      errA=0.029650936161663036      err2_a=2.5889089718305195e-5      err2_b=0.04503895302899768
iter = 274      errA=0.02797842164411591      err2_a=2.4425054786651362e-5      err2_b=0.042484093300933105
iter = 275      errA=0.027801005931971677      err2_a=2.4281509681234002e-5      err2_b=0.04219978841105923
iter = 276      errA=0.026136334481625764      err2_a=2.2822682590465494e-5      err2_b=0.03962369302833214
iter = 277      errA=0.02441085511614567      err2_a=2.1327833924614382e-5      err2_b=0.03695562524954256
iter = 278      errA=0.022975167106770934      err2_a=2.0065709044573433e-5      err2_b=0.034822145229720075
iter = 279      errA=0.021595270366202356      err2_a=1.8864374423397714e-5      err2_b=0.03274713865501294
iter = 280      errA=0.020307766032431392      err2_a=1.773357491893822e-5      err2_b=0.030808009745539287
iter = 281      errA=0.01910981454373867      err2_a=1.6681629589508242e-5      err2_b=0.02899779992983024
iter = 282      errA=0.01797429708465437      err2_a=1.5683945032828744e-5      err2_b=0.02723867451370049
iter = 283      errA=0.016871305950386207      err2_a=1.4740924255044902e-5      err2_b=0.025526412217233264
iter = 284      errA=0.015847971136157938      err2_a=1.3858556992192849e-5      err2_b=0.023950241000652395
iter = 285      errA=0.014917816501725578      err2_a=1.3036388101996399e-5      err2_b=0.022563660095135468
iter = 286      errA=0.013960870074409699      err2_a=1.219713888143887e-5      err2_b=0.021102609290710353
iter = 287      errA=0.013150524714208437      err2_a=1.1482525652169725e-5      err2_b=0.019881966100543578
iter = 288      errA=0.012410568110917994      err2_a=1.0836367707062557e-5      err2_b=0.018779281250841547
iter = 289      errA=0.011632231523178063      err2_a=1.0162011495967578e-5      err2_b=0.01758756529912598
iter = 290      errA=0.011527276096713343      err2_a=1.0072764655972266e-5      err2_b=0.017425922868120784
iter = 291      errA=0.010886491776320456      err2_a=9.514800521244964e-6      err2_b=0.016447778169357437
iter = 292      errA=0.010198157568579762      err2_a=8.91968864679506e-6      err2_b=0.015377208491204839
iter = 293      errA=0.009800629817626767      err2_a=8.564805453750061e-6      err2_b=0.014803851902300944
iter = 294      errA=0.009571674207013933      err2_a=8.365624366601075e-6      err2_b=0.014433474122194326
iter = 295      errA=0.009031159330459303      err2_a=7.897106490554641e-6      err2_b=0.013606715656497348
iter = 296      errA=0.008481568680483413      err2_a=7.415274577803546e-6      err2_b=0.0127793642009811
iter = 297      errA=0.007945875819020688      err2_a=6.943200964055413e-6      err2_b=0.011976355728002718
iter = 298      errA=0.0074230601176480055      err2_a=6.4948529578472165e-6      err2_b=0.011196493286228662
iter = 299      errA=0.006964139111872964      err2_a=6.0956034334268154e-6      err2_b=0.01049059662635216
iter = 300      errA=0.00657828543051875      err2_a=5.760822681892188e-6      err2_b=0.009911713505692067
iter = 301      errA=0.006205451169328013      err2_a=5.426521543937799e-6      err2_b=0.009367146155198297
iter = 302      errA=0.005796382222346792      err2_a=5.06658737078795e-6      err2_b=0.008740532955823487
